beta,bookValue,debtToEquity,dividendRate,dividendYield,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,grossMargins,heldPercentInsiders,heldPercentInstitutions,operatingMargins,payoutRatio,priceToBook,profitMargins,revenueGrowth,sharesOutstanding,trailingEps,PE,ROE,ROCE,log_return
0.91,184.622,163.403,7.0,0.006,0.265,10608074752.0,0.17708,19.216,3.403,0.40737,0.42826,0.28513,0.17895001,0.1527,6.3640842,0.0794,0.06,145107008.0,32.7,43.3,14.2,18.3,0.3037790326659992
0.755,142.75,0.084,6.5,0.0046,0.5,2144894976.0,0.15822,41.68,6.595,0.45841998,0.43003,0.33078,0.11447,0.25059998,10.073555,0.104940005,0.136,64841300.0,21.91,62.2,16.1,21.7,0.6778350097456656
0.463,113.753,6.625,4.0,0.006,-0.252,1912232192.0,0.22945999,19.655,4.51,0.46233,0.7429,0.059159998,0.16350001,0.0847,5.8547907,0.17469,-0.152,61625200.0,23.65,28.1,25.1,31.0,-0.051128195
0.788,127.503,26.58,5.0,0.0053,0.003,12455199744.0,0.20558001,26.559,5.46,0.37974,0.70698,0.1768,0.16384001,0.1908,7.3449254,0.133,-0.001,341814016.0,23.59,52.9,16.3,18.8,0.1285841820722009
0.8,212.065,11.208,4.0,0.0139,-0.543,6714950144.0,0.12989001,10.38,1.348,0.24337,0.70616996,0.027320001,0.08093,0.047199998,1.3547733,0.09435,-0.152,228890000.0,21.2,13.5,12.5,15.9,-0.011970228
-0.115,250.806,19.732,2.5,0.003,0.208,1552715008.0,0.23877001,18.254,4.358,0.75984,0.44172,0.17058,0.12455,0.1507,3.3639545,0.09244,0.22,32289800.0,18.25,44.4,7.52,10.1,0.3559898328962694
0.355,77.568,0.2,3.5,0.0039,0.084,2993019904.0,0.12701,51.437,6.533,0.41922,0.69949996,0.12489,0.11966,0.27989998,11.641398,0.09064999,0.093,174039008.0,12.5,74.2,17.5,23.9,0.049528882
1.138,383.881,35.491,10.0,0.012,-0.148,3604940032.0,0.18736,10.154,1.902,0.2734,0.64976,0.13256,0.137,0.1821,2.1842706,0.1246,-0.071,43653100.0,54.9,15.3,15.5,16.6,-0.054801846
0.483,137.435,12.595,5.0,0.007900001,0.141,554369728.0,0.10538,17.15,1.807,0.39594,0.84174,0.00095,0.080520004,0.21100001,4.656747,0.06701,0.163,14872300.0,23.71,26.7,17.8,23.7,0.1057236191425428
0.677,295.828,0.18,1.8,0.0026,0.246,1016427776.0,0.17163,11.965,2.054,0.51919997,0.56069,0.00631,0.13245,0.0307,2.3155346,0.16542,0.086,20029700.0,48.9,14.0,16.8,22.3,0.1701216888106032
0.685,97.008,26.775,2.5,0.0062,0.114,10318993408.0,0.12706,14.618,1.857,0.32502,0.61879003,0.09233,0.10366,0.0855,4.1542964,0.07526,0.167,347252992.0,17.54,80.2,9.78,13.6,0.6881868530791531
1.029,115.85,79.931,5.5,0.0097,0.431,3949685760.0,0.13407,11.59,1.554,0.36183998,0.60575,0.15802,0.0774,0.2195,4.9028916,0.04744,0.197,68157696.0,20.49,40.3,14.6,14.8,0.2363366550815495
0.505,521.001,13.589,2.0,0.001,1.036,2115325056.0,0.090509996,29.175,2.641,0.31377,0.75577,0.0555,0.07308,0.1024,3.9712017,0.06282,0.028,30071700.0,48.72,41.6,8.67,11.4,0.5958875884142341
0.082,65.183,7.941,0.6,0.0022,-0.146,2624069888.0,0.09194,28.912,2.658,0.2451,0.70932996,0.045089997,0.06311,0.1185,4.2702856,0.04084,-0.021,275780992.0,4.23,46.9,9.36,12.1,0.1131077072066517
0.286,79.591,110.529,1.5,0.0107,-0.111,3669020160.0,0.100480005,6.466,0.65,0.38854998,0.40825,0.04922,0.1065,0.1149,1.7545952,0.04093,-0.15,118515000.0,13.07,11.1,18.2,16.9,0.1916495591028262
0.868,130.95,19.894,5.0,0.0062,-0.014,537225024.0,0.112229995,27.958,3.138,0.70052004,0.74692,0.06371,0.10606,0.22559999,6.1237116,0.1031,-0.022,22263400.0,22.17,36.8,17.7,20.5,0.3772859971813114
0.566,197.023,1.751,3.0,0.0049,0.225,1692945280.0,0.20767,14.616,3.035,0.42844,0.60341,0.031059999,0.19232,0.068,3.0935476,0.15862,0.061,43452600.0,29.4,21.5,14.6,18.8,0.214724347346209
0.93,83.98,27.022,1.4,0.0024,0.423,4949049856.0,0.10378,27.342,2.837,0.36141,0.67686,0.25715,0.07201,0.1263,6.8188853,0.051620003,0.11,235280992.0,10.29,66.6,12.2,14.5,0.3272133660018133
1.155,163.361,117.962,8.0,0.014,0.038,3003303424.0,0.19068001,11.585,2.209,0.52358,0.60141,0.11089,0.13373,0.1407,3.4892051,0.08644,0.032,48281600.0,28.45,19.4,19.2,15.1,0.2889331538936588
0.648,178.956,21.242,3.0,0.0041,-0.119,1348787456.0,0.19011,19.112,3.633,0.4325,0.33546,0.32036,0.12282,0.20629999,4.123919,0.09075,0.058,33228900.0,19.41,38.1,11.6,14.5,-0.128234264
1.205,63.746,161.66,2.0,0.0127,-0.215,2831075072.0,0.05606,13.144,0.737,0.36042,0.77481,0.01235,0.04735,0.3008,2.4851756,0.01903,-0.09,144496000.0,6.65,23.3,11.4,10.8,-0.064043919
0.499,203.961,116.817,2.5,0.0062,0.457,4140932096.0,0.13395001,8.744,1.171,0.26308,0.56573004,0.17508,0.10223,0.0971,1.9942539,0.04682,0.301,56220000.0,25.73,15.8,12.1,11.6,0.1547631238065694
0.545,101.928,0.773,3.0,0.010299999,-0.21,1705975040.0,0.120120004,26.236,3.152,0.41612998,0.28876,0.07893,0.07491,0.3989,2.8451455,0.088549994,-0.062,166903008.0,7.51,38.7,7.18,9.72,0.1031991534196601
0.986,91.979,13.649,5.0,0.012200001,-0.352,383929984.0,0.08162,22.582,1.843,0.23101,0.57707,0.0771,0.07119,0.22850001,4.4694986,0.064050004,-0.017,22627200.0,13.13,32.4,15.8,19.6,-0.165904751
0.482,85.091,9.73,2.25,0.0076,-0.011,4410008064.0,0.1443,13.951,2.013,0.56469,0.47149,0.16676001,0.08249,0.2056,3.4786286,0.05711,-0.156,204868992.0,8.52,34.7,10.5,16.1,0.3892018290662538
0.696,23.116,20.902,0.25,0.005,-0.314,353983488.0,0.10453,18.753,1.96,0.41926998,0.76525,0.02636,0.04808,0.1689,2.18896,0.052270003,0.347,119639000.0,1.48,43.5,5.26,7.37,0.009345608
0.191,29.945,17.464,1.5,0.0063,-0.272,1086525056.0,0.03797,46.514,1.766,0.30906,0.46347,0.31487,0.029830001,0.4573,7.862748,0.02444,0.07,213366000.0,3.29,91.4,10.3,14.2,0.1209264410369286
0.068,64.231,73.183,2.4,0.0074,-0.416,842674240.0,0.2082,15.64,3.256,0.47390997,0.48621,0.00244,0.16995001,0.25030002,4.777288,0.092989996,-0.08,39419800.0,9.58,27.5,20.2,21.2,0.085650191
1.418,182.278,2.359,7.0,0.0177,0.092,2716950016.0,0.10877,8.431,0.917,0.16472,0.76481,0.021259999,0.096920006,0.24270001,2.1714084,0.079840004,0.267,60493600.0,32.96,18.1,16.1,23.3,0.2180285354346471
0.416,51.863,3.957,0.6,0.005,1.458,1542482560.0,0.19118,6.658,1.273,0.34474,0.72646004,0.0007,0.16496,0.041500002,2.3218865,0.14187,0.121,94950000.0,12.06,9.95,20.9,26.8,0.581307722
0.736,129.867,148.038,1.5,0.0011,0.47,2259251968.0,0.17451,21.366,3.729,0.33646,0.37033,0.15742,0.11722,0.0397,10.379849,0.07475,0.321,35464800.0,30.2,49.8,24.2,20.1,0.5214723168283815
0.484,162.589,1.86,4.25,0.014500001,-0.338,523112000.0,0.06597,14.291,0.943,0.24662,0.68236,0.00024,0.03217,0.32029998,1.7713375,0.043509997,-0.119,25989200.0,13.27,22.1,8.26,11.1,0.1337808146782464
0.75,69.335,13.285,6.0,0.0078,0.436,3526217472.0,0.10284001,39.003,4.011,0.35919,0.34739,0.27718002,0.0953,0.26770002,11.1199255,0.09009,-0.051,183812992.0,16.84,47.2,23.3,29.7,0.4365168317502146
1.099,28.422,19.472,0.75,0.0035,0.333,1444385536.0,0.041810002,26.334,1.101,0.07874,0.64551,0.00135,0.03959,0.2187,7.4941945,0.02273,0.192,178658000.0,4.38,48.6,15.2,25.4,0.5519184646534026
0.451,254.031,49.744,2.5,0.0037,-0.163,2701355520.0,0.10329001,10.467,1.081,0.16894,0.62658,0.17759001,0.09184,0.077,2.605981,0.04581,0.213,39641800.0,32.45,21.5,14.4,19.1,0.0216874483411464
0.733,269.251,37.203,3.0,0.0027,-0.385,1001350016.0,0.111870006,14.773,1.653,0.37934,0.71036005,0.0004,0.089420006,0.081499994,4.1299753,0.05045,-0.139,12262200.0,36.87,29.5,16.6,21.3,0.03559575
0.744,188.616,28.271,12.0,0.0165,1.162,7674342400.0,0.03935,14.595,0.574,0.10696,0.6265,0.23532,0.022950001,0.17909999,3.8697674,0.01712,0.088,148626000.0,22.32,25.1,15.4,13.9,0.2054703386427698
0.341,56.934,2.497,2.85,0.007,0.267,4603049984.0,0.17316,27.144,4.7,0.19478,0.72844005,0.03573,0.11793,0.2566,7.1653147,0.09649,0.194,320937984.0,8.0,49.0,15.2,20.2,0.1113375132623204
0.362,97.024,38.705,2.0,0.0035,0.224,1311474944.0,0.14464,23.521,3.402,0.3377,0.70679003,0.07995,0.11306,0.1361,5.874835,0.082320005,0.08,50771000.0,14.72,52.8,17.0,19.8,-0.103323409
0.544,94.076,7.308,2.5,0.007900001,-0.245,2835525120.0,0.107030004,21.263,2.276,0.39354,0.55554,0.22323999,0.083009996,0.3671,3.3696163,0.05015,0.001,194468992.0,6.82,46.6,8.3,11.2,0.1601824244536756
0.331,306.311,68.278,2.5,0.0029,-0.5,15633800192.0,0.16950001,16.123,2.733,0.53564,0.48064998,0.3714,0.07284,0.14140001,2.8128273,0.03499,-0.068,236292000.0,14.13,57.9,5.63,8.17,0.062686958
0.556,467.796,6.006,0.75,0.0032,-0.002,1637728256.0,0.104890004,13.283,1.393,0.37964,0.62249,0.048189998,0.08839,0.0791,0.5006456,0.067600004,0.115,86809104.0,12.65,33.1,5.24,7.37,0.066413777
0.825,148.435,44.951,2.5,0.0025,-0.078,8661843968.0,0.21295,21.962,4.677,0.45464,0.5664,0.14687,0.14462,0.1015,6.703271,0.08452,0.126,180748992.0,19.69,56.1,16.4,18.7,0.3485467236365052
0.662,69.527,95.915,2.5,0.007,-0.091,955604736.0,0.32096002,12.028,3.861,0.52673,0.66927004,0.040749997,0.21885,0.115200005,5.1778445,0.15988,0.06,27425200.0,17.36,40.3,10.9,12.7,-0.097832167
0.281,342.812,17.435,13.0,0.0083,-0.155,5174499840.0,0.12441,18.242,2.269,0.16434,0.74899,0.09172,0.102749996,0.19370002,4.544765,0.08683,0.141,62962700.0,56.74,74.7,10.9,13.5,0.001033151
0.936,168.942,72.894,3.25,0.0057,0.353,3601172224.0,0.0999,11.529,1.152,0.39191002,0.70379996,0.17094,0.04921,0.1282,3.4038308,0.03258,0.101,60190700.0,19.47,29.6,11.8,14.9,0.1373908233911267
0.858,198.161,108.294,2.0,0.0046,0.105,2275899904.0,0.08608,14.182,1.221,0.30245,0.79251,0.09994,0.05673,0.2358,2.2052777,0.01601,0.024,49826000.0,8.49,53.6,4.37,6.77,0.0209806270853949
0.29,317.35,1.099,5.0,0.0148,-0.484,2918475008.0,0.16236,5.672,0.921,0.41397,0.68526,0.08140001,0.08609,0.1276,1.06507,0.13131,-0.01,63068100.0,39.19,9.39,15.2,20.2,0.06799711
1.022,89.793,37.494,1.2,0.0046,-0.294,1780532480.0,0.18222,19.187,3.496,0.28441,0.75798,0.00626,0.1034,0.16520001,2.925618,0.08172,0.184,107263000.0,7.27,26.3,9.72,14.1,-0.018807775
0.248,328.904,10.864,3.0,0.0058,-0.124,1564999936.0,0.03138,8.369,0.263,0.05669,0.58434,0.10695,0.02829,0.0889,1.5700631,0.01602,0.14,24249300.0,33.75,17.6,13.0,19.7,-0.275236996
0.438,13.712,34.255,0.1,0.0019,-0.096,819805760.0,0.19996999,22.624,4.524,0.52332,0.57014,0.015,0.18677999,0.066199996,3.8739789,0.14505,0.13,333447008.0,1.51,44.1,12.1,14.1,-0.171950922
1.224,63.32,52.35,0.4,0.0012,0.773,1232733440.0,0.16695,25.718,4.294,0.30118,0.72388,0.02132,0.15281,0.044499997,5.4793115,0.07715,0.215,84652000.0,6.75,51.9,9.53,11.4,0.5368690831933662
1.13,175.628,45.322,3.0,0.0042,-0.126,2425741824.0,0.0939,13.876,1.303,0.53868,0.58077,0.27446,0.05149,0.133,4.099574,0.03662,-0.014,41003600.0,22.54,31.7,13.5,16.6,0.1805386241029092
0.409,234.855,0.005,4.0,0.0073,-0.283,2312587264.0,0.061240003,15.075,0.923,0.17062001,0.69896007,0.11812,0.043319996,0.1494,2.3376126,0.048979998,0.038,68560400.0,26.75,19.9,12.4,18.7,0.1223624621392547
0.733,304.233,26.864,3.0,0.003,0.204,1558994944.0,0.14368,14.893,2.14,0.59397,0.63304,0.184,0.094560005,0.081199996,2.9567797,0.08543,-0.009,25092600.0,36.92,21.5,13.2,15.6,0.4160419012348999
0.678,58.172,44.162,1.0,0.0059,0.116,388110016.0,0.09394,19.734,1.854,0.42953998,0.69776,0.01605,0.04355,0.4085,2.8761258,0.07278,0.089,48097700.0,6.12,29.4,7.44,9.34,-0.105182041
0.52,91.895,72.692,1.0,0.0047,-0.139,4638794752.0,0.106929995,9.411,1.006,0.34870997,0.75037,0.02056,0.08241,0.0235,2.3396268,0.15401,-0.018,156928992.0,42.58,15.4,17.7,18.7,-0.047303166
0.343,414.736,0.773,4.0,0.0182,-0.295,444348256.0,0.10221,3.294,0.337,0.36450002,0.65093005,0.01684,0.07428,0.0939,0.53248334,0.13382,-0.079,15608400.0,37.29,5.76,10.5,13.4,-0.05043414
0.662,124.087,26.287,2.0,0.0035,0.402,1153707264.0,0.11618,18.052,2.097,0.47109002,0.79635,0.0956,0.08677,0.118999995,4.629816,0.06113,0.277,36024200.0,16.84,49.6,9.1,11.1,0.5520927627622036
0.464,165.98,40.648,6.1,0.0051,-0.891,3335389952.0,0.13007,26.168,3.404,0.42981997,0.47414002,0.24260001,0.072119996,0.29479998,7.018316,0.04676,0.042,69227200.0,17.3,73.3,9.46,9.73,0.6590026052504045
0.679,162.792,19.0,6.85,0.0048,0.112,9005200384.0,0.15652001,34.14,5.344,0.56384,0.49553,0.30742002,0.12911001,0.2685,8.8395,0.09315,0.062,210128000.0,25.53,60.5,15.5,18.8,0.255607920454814
0.79,98.335,51.982,2.5,0.0049,0.151,3442162432.0,0.116639994,20.585,2.401,0.41739,0.49061,0.20512,0.08189999,0.1892,5.1456757,0.058379997,0.081,137068992.0,12.43,29.7,19.6,21.3,0.1846601096083784
1.337,200.337,0.739,5.0,0.0069,0.564,6092425216.0,0.07784,12.813,0.997,0.23035,0.69318,0.02805,0.06365,0.1351,3.6039274,0.04631,0.01,108498000.0,33.29,21.7,16.2,20.8,0.2575155643838593
0.61,87.075,18.374,0.7,0.0022,0.184,1201222528.0,0.14974,17.197,2.575,0.45986,0.63111,0.00214,0.12765999,0.0327,3.6864774,0.14107999,0.144,61728200.0,18.34,27.3,16.6,20.0,0.1293501033073987
1.513,154.81,3.472,12.0,0.014,0.043,7153028096.0,0.17799,15.225,2.71,0.22049,0.52514,0.12038,0.17442,0.24309999,5.5745754,0.13788,0.1,134567008.0,41.1,72.6,26.2,26.3,-0.087962668
0.201,257.745,9.508,9.0,0.0087,0.103,4254162432.0,0.10293,18.526,1.907,0.13069999,0.72559,0.12578,0.07157,0.1517,4.0039573,0.08698,0.1,76542896.0,46.18,23.0,19.3,20.4,0.2089403637088125
0.537,183.601,1.486,8.0,0.0077,-0.31,1711474944.0,0.13781,22.715,3.13,0.19530001,0.71990997,0.10727,0.09438,0.2526,5.6641846,0.09794,-0.039,38380000.0,31.69,32.6,20.2,26.5,-0.027309018
0.513,179.125,25.844,2.0,0.0011,0.72,3181104896.0,0.20332001,39.67,8.066,0.55647,0.74786,0.19522,0.12226,0.0637,10.607118,0.13371,0.268,66535500.0,31.36,82.7,11.6,14.2,0.3408855217422575
0.825,63.408,24.941,0.5,0.0025,1.275,3169192192.0,0.08479,24.525,2.079,0.1531,0.48256,0.13716,0.06948,0.0395,3.1068635,0.0366,0.358,399467008.0,3.81,56.7,5.83,11.4,0.1819651441620617
0.59,41.033,25.367,0.5,0.0019,0.358,596174272.0,0.14608,43.101,6.296,0.62982,0.77625,0.00036,0.21765,0.0921,6.5691023,0.122559994,0.273,92040096.0,5.42,74.0,8.49,11.4,0.2550536360587854
0.43,34.304,18.572,0.5,0.0016,0.526,2120965504.0,0.15117,28.173,4.259,0.48991,0.55653,0.092480004,0.14130001,0.0318,8.901295,0.10859,0.03,192804992.0,7.88,35.9,25.4,22.6,0.3173907808930414
1.129,112.78,31.722,2.0,0.0051,0.413,7404289536.0,0.14358,13.118,1.883,0.28206,0.53925,0.1366,0.10904,0.0851,3.505054,0.0647,0.139,226928992.0,14.69,52.2,8.92,10.7,0.4028374512619717
1.224,175.211,7.428,0.8,0.0007,-0.037,4505081856.0,0.11715,31.687,3.712,0.22695999,0.40558997,0.23096001,0.10486,0.0223,6.2439003,0.07577,-0.008,134674000.0,22.42,49.0,18.6,25.4,0.1793547827150368
0.532,95.806,2.094,1.2,0.0135,-0.023,628061248.0,0.0374,6.308,0.236,0.18252,0.48860002,0.02244,0.011619999,0.2717,0.92374176,0.029590001,0.024,89971504.0,5.52,16.2,6.38,8.88,0.081299478
0.884,132.58,49.086,3.5,0.008,-0.54,5885021696.0,0.11056,18.568,2.053,0.29583,0.66543996,0.10609,0.04409,0.33580002,3.2810378,0.06741,0.086,218898000.0,16.36,26.8,14.1,14.8,0.297327673
0.259,150.767,8.599,6.0,0.0069,-0.13,3013799936.0,0.11252,37.459,4.215,0.41275,0.71704,0.19485001,0.06336,0.3743,5.7970247,0.082959995,0.001,136947008.0,15.99,51.5,11.6,15.3,0.2308402701292236
0.885,511.61,43.437,3.0,0.0046,-0.768,1617229696.0,0.07967,18.808,1.498,0.26771,0.71796,0.053000003,0.051009998,0.116000004,1.2822267,0.04422,0.019,34695400.0,25.84,48.6,6.86,10.7,0.2837252936061123
0.641,78.088,15.262,2.75,0.0065,0.033,6124000256.0,0.18917999,21.335,4.036,0.50678,0.31674,0.18749,0.1601,0.17819999,5.372144,0.13201,0.015,304742016.0,14.01,41.2,26.8,31.6,0.2275360099649814
1.158,182.519,112.015,2.5,0.0069,-0.812,2335185408.0,0.114429995,9.239,1.057,0.25029,0.81985,0.00049,0.05262,0.088999994,2.003353,0.05246,-0.014,38138100.0,28.07,12.9,20.8,17.8,0.083839196
0.924,44.327,19.467,0.5,0.007,-0.204,746771008.0,0.067379996,20.041,1.35,0.19836001,0.51052,0.02148,0.055609997,0.085,1.3964401,0.05923,0.347,223836992.0,2.94,23.2,6.6,7.64,-0.076377743
0.209,55.885,7.274,3.4,0.0071,0.006,578321728.0,0.18855,41.477,7.82,0.37390998,0.67843,0.00017,0.14651,0.19129999,8.633801,0.119090006,0.041,49945000.0,7.3,65.4,13.8,17.3,0.0559423876859312
0.821,88.186,11.636,2.0,0.0069,0.395,1835583744.0,0.11013,13.331,1.468,0.29900998,0.75303,0.03224,0.095819995,0.16540001,3.3111832,0.05948,0.013,81558096.0,12.1,23.9,13.2,17.5,0.2752345303806969
0.423,319.836,19.503,4.0,0.0085,0.746,11161900032.0,0.11756,13.364,1.571,0.43254003,0.64568,0.20086001,0.10873,0.1358,1.4698159,0.077259995,-0.004,289175008.0,25.8,19.3,6.57,8.1,0.0101773869792998
0.817,214.635,33.98,5.0,0.0071,0.502,15835400192.0,0.09651,11.93,1.151,0.31267,0.52047,0.23371,0.092159994,0.1099,3.2613506,0.07272,-0.229,262263008.0,45.48,36.5,13.6,14.8,0.234318051662667
0.614,170.596,30.604,3.0,0.0054,0.081,4595474944.0,0.14916,16.476,2.458,0.31734,0.64736,0.06587,0.14503,0.1234,3.2708857,0.09781,0.298,136514000.0,24.3,27.1,11.6,15.4,0.5617711493402391
0.513,216.323,0.809,5.5,0.0058,0.112,795444992.0,0.12028,22.378,2.692,0.37387002,0.62513,0.08321,0.08376,0.1402,4.414695,0.09012,0.21,20900300.0,28.52,33.4,13.6,18.1,0.5873555060922975
0.264,254.38,7.105,2.0,0.0018,0.067,623953984.0,0.1319,36.081,4.759,0.31027,0.65158,0.02429,0.09415,0.091000006,4.347826,0.09852,0.058,22034600.0,21.98,50.3,12.7,17.0,0.055339966
